*Resp. Cost Center,*Project Type,WBS: Reporting WBS,WBS: Reporting WBS Desc.|Time: Fiscal Year.Period,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,Overall Result
  [+] Customer Care,E,UCUS.00000018.01.01,SPECIAL CONSUMER SERVICES,32364.00,28142.00,31885.00,31885.00,30436.00,31885.00,33334.00,30436.00,31885.00,31885.00,30436.00,33334.00,30160.00,28724.00,34023.00,32544.00,31064.00,32544.00,32544.00,32544.00,32544.00,31064.00,32544.00,34023.00,31179.00,29739.00,35173.00,32114.00,33643.00,33643.00,32114.00,35173.00,33643.00,32114.00,33643.00,33643.00,33605.00,30550.00,35820.00,31466.00,36186.00,34613.00,33040.00,36186.00,33040.00,34613.00,34613.00,33040.00,36186.00,33040.00,33748.00,35652.00,37272.00,32410.00,37272.00,35652.00,34031.00,37272.00,34031.00,35652.00,37272.00,32410.00,34809.00,36721.00,36721.00,35052.00,38390.00,35052.00,36721.00,38390.00,33383.00,38390.00,2420353.00
  [+] Customer Care,E,UCUS.00000033.01.01,CENTRAL CUSTOMER ACCOUNTING,7344.00,7353.00,5236.00,5814.00,5587.00,5891.00,6687.00,7625.00,10988.00,8694.00,10454.00,8920.00,6899.00,7309.00,5385.00,5766.00,5541.00,5843.00,6439.00,7776.00,10940.00,8448.00,10605.00,8869.00,6907.00,7317.00,5395.00,5577.00,5747.00,5852.00,6251.00,7983.00,10949.00,8457.00,10614.00,8681.00,7098.00,7310.00,5387.00,5372.00,5937.00,5844.00,6243.00,7975.00,10744.00,8647.00,10607.00,8476.00,7295.00,7508.00,4992.00,5767.00,5937.00,5449.00,6639.00,7778.00,10744.00,8845.00,10409.00,8674.00,2752.00,3360.00,844.00,1422.00,1394.00,1499.00,2096.00,3432.00,6596.00,4302.00,6262.00,4328.00,488108.00
  [+] Customer Care,E,UCUS.00000033.02.01,SOUTHERN CUSTOMER ACCOUNTING,104381.00,90725.00,100970.00,101548.00,96969.00,101625.00,106773.00,99007.00,106723.00,104428.00,101837.00,109465.00,97295.00,92393.00,107417.00,103361.00,98700.00,103439.00,104035.00,105372.00,108536.00,101608.00,108201.00,111360.00,100280.00,95252.00,110705.00,101729.00,106478.00,106583.00,102403.00,113293.00,111680.00,104609.00,111346.00,109871.00,107665.00,97727.00,113439.00,99450.00,114127.00,109330.00,105025.00,116165.00,109526.00,112133.00,114093.00,107717.00,115485.00,105282.00,106464.00,112183.00,117190.00,102191.00,117892.00,114194.00,112323.00,120098.00,111989.00,115549.00,115997.00,100826.00,106605.00,112993.00,112965.00,107999.00,118738.00,109932.00,118167.00,120944.00,107690.00,121430.00,7751922.00
  [+] Customer Care,E,UCUS.00000109.03.01,BASE ADMIN CUST CARE QA,43683.00,38917.00,44062.00,44062.00,42070.00,44062.00,46055.00,42070.00,44062.00,44062.00,42070.00,46058.00,41635.00,39663.00,46938.00,44908.00,42877.00,44908.00,44908.00,44908.00,44908.00,42877.00,44908.00,46942.00,42988.00,41013.00,48465.00,44271.00,46368.00,46368.00,44271.00,48465.00,46368.00,44271.00,46368.00,46372.00,46298.00,42110.00,49334.00,43366.00,49837.00,47680.00,45523.00,49837.00,45523.00,47680.00,47680.00,45527.00,49837.00,45523.00,46494.00,49103.00,51325.00,44660.00,51325.00,49103.00,46882.00,51325.00,46882.00,49107.00,51325.00,44660.00,47948.00,50569.00,50569.00,48281.00,52858.00,48281.00,50569.00,52858.00,45993.00,52861.00,3335932.00
  [+] Customer Care,E,UCUS.00000118.02.01,BACK OFFICE MIAMI PEAK,103581.00,89677.00,101488.00,101809.00,96735.00,102211.00,107842.00,101202.00,106092.00,104191.00,99258.00,108225.00,96534.00,91344.00,107983.00,103688.00,98528.00,104090.00,105191.00,107612.00,107971.00,101454.00,105668.00,110189.00,99575.00,94363.00,111402.00,102194.00,106416.00,107361.00,103697.00,115648.00,111242.00,104576.00,108939.00,108844.00,107067.00,96844.00,113469.00,100103.00,114254.00,110302.00,106504.00,118722.00,109284.00,112282.00,111880.00,106886.00,115074.00,104569.00,106949.00,113092.00,117592.00,103407.00,119638.00,117016.00,112331.00,120518.00,110029.00,114977.00,113656.00,98438.00,105706.00,111735.00,111192.00,107156.00,118220.00,110677.00,116018.00,119099.00,103752.00,118602.00,7733858.00
  [+] Customer Care,E,UCUS.00000118.02.02,BACK OFFICE WPB PEAK,2411.00,1703.00,1813.00,2135.00,1591.00,2537.00,3637.00,6058.00,6418.00,4517.00,4115.00,4020.00,2411.00,1703.00,1813.00,2135.00,1591.00,2537.00,3637.00,6058.00,6418.00,4517.00,4115.00,4020.00,2411.00,1703.00,1813.00,2135.00,1591.00,2537.00,3637.00,6058.00,6418.00,4517.00,4115.00,4020.00,2411.00,1703.00,1813.00,2135.00,1591.00,2537.00,3637.00,6058.00,6418.00,4517.00,4115.00,4020.00,2411.00,1703.00,1813.00,2135.00,1591.00,2537.00,3637.00,6058.00,6418.00,4517.00,4115.00,4020.00,2411.00,1703.00,1813.00,2135.00,1591.00,2537.00,3637.00,6058.00,6418.00,4517.00,4115.00,4020.00,245726.00
  [+] Customer Care,E,UCUS.00000118.03.01,BACK OFFICE ORS BASE,20406.00,17745.00,20105.00,20105.00,19191.00,20105.00,21018.00,19191.00,20105.00,20105.00,19191.00,21018.00,18984.00,18080.00,21414.00,20483.00,19552.00,20483.00,20483.00,20483.00,20483.00,19552.00,20483.00,21414.00,19597.00,18690.00,22105.00,20183.00,21144.00,21144.00,20183.00,22105.00,21144.00,20183.00,21144.00,21144.00,21110.00,19191.00,22513.00,19763.00,22728.00,21739.00,20751.00,22728.00,20751.00,21739.00,21739.00,20751.00,22728.00,20751.00,21203.00,22387.00,23405.00,20352.00,23405.00,22387.00,21369.00,23405.00,21369.00,22387.00,17186.00,12786.00,13732.00,14486.00,14486.00,13828.00,15145.00,13828.00,14486.00,15145.00,13169.00,15145.00,1423019.00
  [+] Customer Care,E,UCUS.00000121.04.01,BACK OFFICE,62754.00,56154.00,63622.00,63622.00,60730.00,63622.00,66514.00,60730.00,63622.00,63622.00,60730.00,66514.00,60179.00,57314.00,67888.00,64936.00,61985.00,64936.00,64936.00,64936.00,64936.00,61985.00,64936.00,67888.00,62213.00,59339.00,70182.00,64079.00,67131.00,67131.00,64079.00,70182.00,67131.00,64079.00,67131.00,67131.00,67054.00,60958.00,71473.00,62787.00,72205.00,69066.00,65926.00,72205.00,65926.00,69066.00,69066.00,65926.00,72205.00,65926.00,67339.00,71138.00,74371.00,64671.00,74371.00,71138.00,67904.00,74371.00,67904.00,71138.00,74371.00,64671.00,69456.00,73272.00,73272.00,69941.00,76602.00,69941.00,73272.00,76602.00,66611.00,76602.00,4827649.00
  [+] Customer Care,E,Result,,1405535.00,1203952.00,1334869.00,1464552.00,1401845.00,1507949.00,1547824.00,1425588.00,1490067.00,1454512.00,1378150.00,1485720.00,1363361.00,1259420.00,1466913.00,1481673.00,1433387.00,1498785.00,1494992.00,1494507.00,1502430.00,1395477.00,1459562.00,1510203.00,1387644.00,1291716.00,1505636.00,1445862.00,1555895.00,1529196.00,1485176.00,1621134.00,1557501.00,1456753.00,1519840.00,1501180.00,1504829.00,1327541.00,1543066.00,1396127.00,1635568.00,1597599.00,1516818.00,1652831.00,1524464.00,1554467.00,1544215.00,1463760.00,1588249.00,1418061.00,1439143.00,1630670.00,1690553.00,1462838.00,1696191.00,1623812.00,1559444.00,1663840.00,1517146.00,1567495.00,1767161.00,1511624.00,1617653.00,1711096.00,1715506.00,1645514.00,1812104.00,1662678.00,1758741.00,1808294.00,1587239.00,1808256.00,109843401.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000007.01.01,MTC ADMINISTRATIVE,28682.00,24941.00,28258.00,28258.00,26974.00,28258.00,29543.00,26974.00,28258.00,28258.00,26974.00,29543.00,26729.00,25456.00,30153.00,28842.00,27531.00,28842.00,28842.00,28842.00,28842.00,27531.00,28842.00,30153.00,27632.00,26356.00,31172.00,28461.00,29817.00,29817.00,28461.00,31172.00,29817.00,28461.00,29817.00,29817.00,29783.00,27075.00,31746.00,27887.00,32071.00,30676.00,29282.00,32071.00,29282.00,30676.00,30676.00,29282.00,32071.00,29282.00,29909.00,31596.00,33033.00,28724.00,33033.00,31596.00,30160.00,33033.00,30160.00,31596.00,33033.00,28724.00,30850.00,32544.00,32544.00,31065.00,34024.00,31065.00,32544.00,34024.00,29586.00,34024.00,2145055.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000007.04.01,METER SYSTEMS & TECHNOLOGY,35891.00,31702.00,34754.00,34754.00,33346.00,34754.00,36162.00,33346.00,34754.00,34904.00,33978.00,36854.00,33661.00,32238.00,36784.00,35349.00,33914.00,35349.00,35349.00,35349.00,35349.00,34067.00,36023.00,37489.00,34635.00,33178.00,37860.00,34897.00,36378.00,36378.00,34897.00,37860.00,36378.00,35086.00,37075.00,37075.00,37023.00,34001.00,38726.00,34257.00,38829.00,37305.00,35781.00,38829.00,35781.00,37532.00,38021.00,36464.00,39577.00,36464.00,36662.00,38311.00,39880.00,35171.00,39880.00,38311.00,36741.00,39977.00,36966.00,38547.00,40127.00,35386.00,37183.00,38845.00,38845.00,37251.00,40439.00,37251.00,38845.00,40550.00,35878.00,40694.00,2628142.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000007.06.01,METER TEST LAB,22312.00,19805.00,22439.00,22439.00,21419.00,22439.00,23459.00,21419.00,22439.00,22439.00,21419.00,23459.00,21224.00,20214.00,23943.00,22902.00,21861.00,22902.00,22902.00,22902.00,22902.00,21861.00,22902.00,23943.00,21942.00,20928.00,24752.00,22600.00,23676.00,23676.00,22600.00,24752.00,23676.00,22600.00,23676.00,23676.00,23649.00,21499.00,25208.00,22144.00,25466.00,24358.00,23251.00,25466.00,23251.00,24358.00,24358.00,23251.00,25466.00,23251.00,23749.00,25089.00,26230.00,22808.00,26230.00,25089.00,23949.00,26230.00,23949.00,25089.00,26230.00,22808.00,24496.00,25842.00,25842.00,24667.00,27016.00,24667.00,25842.00,27016.00,23493.00,27016.00,1702818.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000007.07.01,METER TEST SHOP,41328.00,36833.00,40396.00,40396.00,38614.00,40396.00,42177.00,38614.00,40396.00,40662.00,39732.00,43401.00,39307.00,37493.00,42935.00,41121.00,39307.00,41121.00,41121.00,41121.00,41121.00,39578.00,42314.00,44183.00,40528.00,38655.00,44272.00,40528.00,42400.00,42400.00,40528.00,44272.00,42400.00,40864.00,43632.00,43632.00,43559.00,39709.00,45484.00,39709.00,45484.00,43559.00,41634.00,45484.00,41634.00,43962.00,44826.00,42843.00,46808.00,42843.00,42843.00,44826.00,46808.00,40861.00,46808.00,44826.00,42843.00,47041.00,43387.00,45396.00,47404.00,41379.00,43387.00,45396.00,45396.00,43387.00,47404.00,43387.00,45396.00,47671.00,41912.00,48018.00,3071095.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000007.07.02,METER TEST SHOP LAB,7441.00,6559.00,7147.00,7147.00,6853.00,7147.00,7441.00,6853.00,7147.00,7192.00,7039.00,7644.00,6968.00,6669.00,7567.00,7268.00,6968.00,7268.00,7268.00,7268.00,7268.00,7013.00,7466.00,7774.00,7171.00,6862.00,7789.00,7171.00,7480.00,7480.00,7171.00,7789.00,7480.00,7226.00,7684.00,7684.00,7672.00,7036.00,7990.00,7036.00,7990.00,7672.00,7354.00,7990.00,7354.00,7738.00,7882.00,7554.00,8209.00,7554.00,7554.00,7882.00,8209.00,7227.00,8209.00,7882.00,7554.00,8209.00,7554.00,7882.00,8209.00,7227.00,7554.00,7882.00,7882.00,7554.00,8209.00,7554.00,7882.00,8209.00,7227.00,8209.00,540148.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000035.01.01,FIELD-OPS-MGT-BASE-ADMIN,9431.00,8201.00,9291.00,9291.00,8869.00,9291.00,9714.00,8869.00,9291.00,9291.00,8869.00,9714.00,8785.00,8367.00,9910.00,9479.00,9048.00,9479.00,9479.00,9479.00,9479.00,9048.00,9479.00,9910.00,9079.00,8659.00,10242.00,9351.00,9796.00,9796.00,9351.00,10242.00,9796.00,9351.00,9796.00,9796.00,9784.00,8895.00,10429.00,9161.00,10536.00,10078.00,9620.00,10536.00,9620.00,10078.00,10078.00,9620.00,10536.00,9620.00,9826.00,10380.00,10852.00,9436.00,10852.00,10380.00,9908.00,10852.00,9908.00,10380.00,10852.00,9436.00,10135.00,10691.00,10691.00,10205.00,11177.00,10205.00,10691.00,11177.00,9719.00,11177.00,704844.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000042.01.01,FO_FSO_EAST_RM_BASE_HIGHBILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8941.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8941.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000045.01.01,FO_FSO_WEST_RM_BASE_ADMIN,4586.00,4586.00,5195.00,5195.00,4959.00,5195.00,5432.00,4959.00,5195.00,5195.00,4959.00,5432.00,4905.00,4671.00,5533.00,5292.00,5052.00,5292.00,5292.00,5292.00,5292.00,5052.00,5292.00,5533.00,5062.00,4828.00,5711.00,5214.00,5462.00,5462.00,5214.00,5711.00,5462.00,5214.00,5462.00,5462.00,,4957.00,5812.00,5106.00,5872.00,5617.00,5361.00,5872.00,5361.00,5617.00,5617.00,,5872.00,5361.00,5476.00,5785.00,6048.00,5259.00,6048.00,5785.00,5522.00,6048.00,5522.00,5785.00,6048.00,,,,,,,,,,,,317407.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000046.01.01,FOSS-MGT-CS-RES-FIELD-SVCS,31613.00,28222.00,31976.00,31976.00,33743.00,36699.00,38367.00,30522.00,31976.00,31976.00,30522.00,33429.00,22823.00,21665.00,25938.00,24745.00,26950.00,29416.00,29416.00,24745.00,24745.00,23553.00,24745.00,25938.00,23634.00,22473.00,26853.00,24388.00,29237.00,30301.00,28856.00,26853.00,25620.00,24388.00,25620.00,25620.00,25589.00,23127.00,27374.00,23866.00,31493.00,31074.00,29594.00,27669.00,25134.00,26401.00,26401.00,25134.00,27669.00,25134.00,25704.00,27238.00,32792.00,28875.00,33429.00,27238.00,25932.00,28544.00,25932.00,27238.00,28544.00,24627.00,26559.00,28100.00,32348.00,31216.00,34330.00,26755.00,28100.00,29445.00,25410.00,29445.00,2013007.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000049.01.01,OPER-ANL-CS-RES-FIELD-SVCS,32832.00,28550.00,32347.00,32347.00,30877.00,32347.00,33817.00,30877.00,32347.00,32347.00,30877.00,33817.00,30590.00,29133.00,34508.00,33008.00,31507.00,33008.00,33008.00,33008.00,33008.00,31507.00,33008.00,34508.00,31617.00,30157.00,35667.00,32566.00,34117.00,34117.00,32566.00,35667.00,34117.00,32566.00,34117.00,34117.00,34076.00,30978.00,36322.00,31907.00,36693.00,35098.00,33503.00,36693.00,33503.00,35098.00,35098.00,33503.00,36693.00,33503.00,34221.00,36151.00,37794.00,32864.00,37794.00,36151.00,34508.00,37794.00,34508.00,36151.00,37794.00,32864.00,35296.00,37235.00,37235.00,35543.00,38928.00,35543.00,37235.00,38928.00,33850.00,38928.00,2454553.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000052.17.01,FO_MGA_EAST_BBASEAM1,80657.00,70136.00,79465.00,79465.00,75853.00,79465.00,83077.00,75853.00,79465.00,79465.00,75853.00,83077.00,75155.00,71576.00,84782.00,81096.00,77409.00,81096.00,88373.00,88373.00,88373.00,84356.00,88373.00,92390.00,84658.00,80748.00,95502.00,87198.00,91350.00,91350.00,87198.00,95502.00,91350.00,87198.00,91350.00,91350.00,91243.00,82948.00,97256.00,85436.00,98252.00,93980.00,89708.00,98252.00,89708.00,93980.00,93980.00,89708.00,98252.00,89708.00,91630.00,96799.00,101199.00,87999.00,101199.00,96799.00,92399.00,101199.00,92399.00,96799.00,101199.00,87999.00,94511.00,99703.00,99703.00,95171.00,104235.00,95171.00,99703.00,104235.00,90639.00,104235.00,6445277.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000053.01.01,NATIONAL-ACCTS-ADMINISTRATION,81457.00,70832.00,80253.00,80253.00,76605.00,80253.00,83901.00,76605.00,80253.00,80253.00,76605.00,83901.00,75910.00,72296.00,85634.00,81911.00,78188.00,81911.00,89460.00,89460.00,89460.00,85394.00,89460.00,93526.00,85708.00,81749.00,96687.00,88279.00,92483.00,92483.00,88279.00,96687.00,92483.00,88279.00,92483.00,92483.00,92377.00,83979.00,98466.00,86499.00,99474.00,95149.00,90824.00,99474.00,90824.00,95149.00,95149.00,90824.00,99474.00,90824.00,92770.00,98003.00,102458.00,89094.00,102458.00,98003.00,93548.00,102458.00,93548.00,98003.00,102458.00,89094.00,95687.00,100943.00,100943.00,96355.00,105532.00,96355.00,100943.00,105532.00,91767.00,105532.00,6521831.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000056.01.01,CUST-TECH-SUPP-ADMINISTRATION,14045.00,12213.00,13837.00,13837.00,13208.00,13837.00,14466.00,13208.00,13837.00,13837.00,13208.00,14466.00,13078.00,12455.00,14753.00,14112.00,13470.00,14112.00,14112.00,14112.00,14112.00,13470.00,14112.00,14753.00,13512.00,12887.00,15242.00,13917.00,14580.00,14580.00,13917.00,15242.00,14580.00,13917.00,14580.00,14580.00,14560.00,13236.00,15519.00,13633.00,15678.00,14997.00,14315.00,15678.00,14315.00,14997.00,14997.00,14315.00,15678.00,14315.00,14622.00,15447.00,16149.00,14042.00,16149.00,15447.00,14744.00,16149.00,14744.00,15447.00,16149.00,14042.00,15081.00,15910.00,15910.00,15187.00,16633.00,15187.00,15910.00,16633.00,14464.00,16633.00,1049094.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000056.11.01,CUST-TECH-SUPP-QUALITY POWER,55704.00,49292.00,55848.00,55848.00,53309.00,55848.00,58387.00,53309.00,55848.00,55848.00,53309.00,58387.00,52826.00,50310.00,59593.00,57002.00,54411.00,57002.00,57002.00,57002.00,57002.00,54411.00,57002.00,59593.00,54611.00,52088.00,61606.00,56249.00,58928.00,58928.00,56249.00,61606.00,58928.00,56249.00,58928.00,58928.00,58860.00,53509.00,62740.00,55115.00,63382.00,60626.00,57870.00,63382.00,57870.00,60626.00,60626.00,57870.00,63382.00,57870.00,59111.00,62445.00,65283.00,56768.00,65283.00,62445.00,59607.00,65283.00,59607.00,62445.00,65283.00,56768.00,60969.00,64318.00,64318.00,61395.00,67242.00,61395.00,64318.00,67242.00,58471.00,67242.00,4238355.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000057.01.01,DADE- METER MAINTENANCE,146679.00,127547.00,140302.00,140302.00,133924.00,140302.00,146679.00,133924.00,140302.00,141258.00,137942.00,151080.00,136419.00,129923.00,149411.00,142915.00,136419.00,142915.00,142915.00,142915.00,142915.00,137393.00,147203.00,153894.00,140718.00,134017.00,154119.00,140718.00,147418.00,147418.00,140718.00,154119.00,147418.00,141924.00,151841.00,151841.00,151863.00,138057.00,158765.00,138057.00,158765.00,151863.00,144960.00,158765.00,144960.00,153312.00,156418.00,149308.00,154479.00,141046.00,141046.00,147763.00,154479.00,134330.00,154479.00,147763.00,141046.00,155173.00,142664.00,149458.00,156252.00,135871.00,142664.00,149458.00,149458.00,142664.00,156252.00,142664.00,149458.00,157045.00,137458.00,158077.00,10483892.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000057.03.01,DADE- C/I METER MAINTENANCE,50099.00,43565.00,47921.00,47921.00,45743.00,47921.00,50099.00,45743.00,47921.00,48248.00,47115.00,51602.00,46595.00,44376.00,51033.00,48814.00,46595.00,48814.00,48814.00,48814.00,48814.00,46928.00,50278.00,52564.00,48093.00,45803.00,52673.00,48093.00,50383.00,50383.00,48093.00,52673.00,50383.00,48505.00,51894.00,51894.00,51806.00,47096.00,54161.00,47096.00,54161.00,51806.00,49451.00,54161.00,49451.00,52301.00,53360.00,50935.00,55786.00,50935.00,50935.00,53360.00,55786.00,48509.00,55786.00,53360.00,50935.00,56001.00,51436.00,53885.00,56335.00,48987.00,51436.00,53885.00,53885.00,51436.00,56335.00,51436.00,53885.00,56581.00,49478.00,56900.00,3648284.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000057.04.01,DADE- RP,26340.00,22904.00,25194.00,25194.00,24049.00,25194.00,26340.00,24049.00,25194.00,25365.00,24766.00,27125.00,24493.00,23326.00,26825.00,25659.00,24493.00,25659.00,25659.00,25659.00,25659.00,24667.00,26424.00,27625.00,25124.00,23928.00,27517.00,25124.00,26321.00,26321.00,25124.00,27517.00,26321.00,25338.00,27106.00,27106.00,27549.00,25044.00,28801.00,25044.00,28801.00,27549.00,26297.00,28801.00,26297.00,27810.00,28371.00,27081.00,29836.00,27241.00,27241.00,28538.00,29836.00,25944.00,29836.00,28538.00,27241.00,30011.00,27650.00,28967.00,30284.00,26333.00,27650.00,28967.00,28967.00,27650.00,30284.00,27650.00,28967.00,30484.00,26735.00,30745.00,1933751.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000057.10.01,DADE- ADMINISTRATIVE,49132.00,48156.00,52971.00,52971.00,50564.00,52971.00,55379.00,50564.00,52971.00,53333.00,52080.00,57041.00,58544.00,56091.00,64505.00,61701.00,58896.00,61701.00,61701.00,61701.00,61701.00,59317.00,63552.00,66440.00,68331.00,65077.00,74839.00,68331.00,71585.00,71585.00,68331.00,74839.00,71585.00,68917.00,73732.00,73732.00,73887.00,67170.00,77245.00,67170.00,77245.00,73887.00,70528.00,77245.00,70528.00,74592.00,76103.00,72644.00,79663.00,72736.00,72736.00,76199.00,79663.00,69272.00,79663.00,76199.00,72736.00,80598.00,74918.00,78485.00,101204.00,96885.00,101730.00,106574.00,106574.00,101730.00,111418.00,101730.00,106574.00,112871.00,99792.00,114761.00,5267812.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000057.10.02,DADE - SUPERVISION,17965.00,15622.00,17700.00,17700.00,16895.00,17700.00,18504.00,16895.00,17700.00,17700.00,16895.00,18504.00,16742.00,15945.00,18887.00,18065.00,17244.00,18065.00,18065.00,18065.00,18065.00,17244.00,18065.00,18887.00,17099.00,16309.00,19289.00,17612.00,18451.00,18451.00,17612.00,19289.00,18451.00,17612.00,18451.00,18451.00,19104.00,17367.00,20363.00,17888.00,20572.00,19677.00,18783.00,20572.00,18783.00,19677.00,19677.00,18783.00,20814.00,19004.00,19411.00,20506.00,21438.00,18642.00,21438.00,20506.00,19574.00,21438.00,19574.00,20506.00,21438.00,18642.00,20021.00,21121.00,21121.00,20161.00,22081.00,20161.00,21121.00,22081.00,19201.00,22081.00,1363522.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000057.11.01,DADE- DISPATCH,5359.00,4660.00,5126.00,5126.00,4893.00,5126.00,5359.00,4893.00,5126.00,5161.00,5040.00,5520.00,4984.00,4747.00,5459.00,5222.00,4984.00,5222.00,5222.00,5222.00,5222.00,5020.00,5378.00,5623.00,5083.00,4841.00,5567.00,5083.00,5325.00,5325.00,5083.00,5567.00,5325.00,5126.00,5485.00,5485.00,5675.00,5160.00,5933.00,5160.00,5933.00,5675.00,5418.00,5933.00,5418.00,5730.00,5846.00,5580.00,6183.00,5646.00,5646.00,5915.00,6183.00,5377.00,6183.00,5915.00,5646.00,6256.00,5815.00,6092.00,6369.00,5538.00,5815.00,6092.00,6092.00,5815.00,6369.00,5815.00,6092.00,6452.00,5704.00,6560.00,398021.00
